"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
30,40,0.1,0.5,0.1,0,0,20,60,0.7122,0.1717
10,10,0.5,0.5,0.1,0,0,20,30,0.819,0.1882
30,10,0.5,0.5,0.1,0,0,20,30,0.7139,0.175
10,40,0.5,0.5,0.1,0,0,20,60,0.7138,0.159
30,40,0.5,0.5,0.1,0,0,20,60,0.6812,0.1668
10,10,0.1,0.1,0.5,0,0,20,30,1.0658,0.2065
30,10,0.1,0.1,0.5,0,0,20,30,0.9187,0.2303
10,40,0.1,0.1,0.5,0,0,20,60,1.0492,0.217
30,40,0.1,0.1,0.5,0,0,20,60,0.9572,0.2144
10,10,0.5,0.1,0.5,0,0,20,30,1.0889,0.2104
30,10,0.5,0.1,0.5,0,0,20,30,0.9825,0.2033
10,40,0.5,0.1,0.5,0,0,20,60,0.9782,0.2133
30,40,0.5,0.1,0.5,0,0,20,60,0.9534,0.2178
10,10,0.1,0.5,0.5,0,0,20,30,0.7522,0.1684
30,10,0.1,0.5,0.5,0,0,20,30,0.6692,0.1686
10,40,0.1,0.5,0.5,0,0,20,60,0.762,0.1622
30,40,0.1,0.5,0.5,0,0,20,60,0.7352,0.1614
10,10,0.5,0.5,0.5,0,0,20,30,0.7159,0.1827
30,10,0.5,0.5,0.5,0,0,20,30,0.7354,0.1739
10,40,0.5,0.5,0.5,0,0,20,60,0.7211,0.1623
30,40,0.5,0.5,0.5,0,0,20,60,0.6527,0.1689
10,10,0.1,0.1,0.1,0.5,0,20,30,1.0154,0.2447
30,10,0.1,0.1,0.1,0.5,0,20,30,1.0121,0.2499
10,40,0.1,0.1,0.1,0.5,0,20,60,1.1266,0.2297
30,40,0.1,0.1,0.1,0.5,0,20,60,1.0201,0.228
10,10,0.5,0.1,0.1,0.5,0,20,30,1.1008,0.2484
30,10,0.5,0.1,0.1,0.5,0,20,30,1.0125,0.2176
10,40,0.5,0.1,0.1,0.5,0,20,60,1.0651,0.2216
30,40,0.5,0.1,0.1,0.5,0,20,60,1.039,0.2236
10,10,0.1,0.5,0.1,0.5,0,20,30,0.8358,0.1917
30,10,0.1,0.5,0.1,0.5,0,20,30,0.8203,0.1773
10,40,0.1,0.5,0.1,0.5,0,20,60,0.8176,0.1803
30,40,0.1,0.5,0.1,0.5,0,20,60,0.7299,0.1709
10,10,0.5,0.5,0.1,0.5,0,20,30,0.8012,0.1822
30,10,0.5,0.5,0.1,0.5,0,20,30,0.8334,0.175
10,40,0.5,0.5,0.1,0.5,0,20,60,0.8065,0.1711
30,40,0.5,0.5,0.1,0.5,0,20,60,0.8078,0.1691
10,10,0.1,0.1,0.5,0.5,0,20,30,1.1004,0.2368
30,10,0.1,0.1,0.5,0.5,0,20,30,1.0348,0.2318
10,40,0.1,0.1,0.5,0.5,0,20,60,1.0161,0.2252
30,40,0.1,0.1,0.5,0.5,0,20,60,1.0325,0.2348
10,10,0.5,0.1,0.5,0.5,0,20,30,1.0915,0.2365
30,10,0.5,0.1,0.5,0.5,0,20,30,0.9941,0.2362
10,40,0.5,0.1,0.5,0.5,0,20,60,0.9294,0.2417
30,40,0.5,0.1,0.5,0.5,0,20,60,1.0474,0.2327
10,10,0.1,0.5,0.5,0.5,0,20,30,0.7645,0.1877
30,10,0.1,0.5,0.5,0.5,0,20,30,0.8018,0.1802
10,40,0.1,0.5,0.5,0.5,0,20,60,0.7863,0.1693
30,40,0.1,0.5,0.5,0.5,0,20,60,0.7666,0.1649
10,10,0.5,0.5,0.5,0.5,0,20,30,0.7515,0.1767
30,10,0.5,0.5,0.5,0.5,0,20,30,0.804,0.174
10,40,0.5,0.5,0.5,0.5,0,20,60,0.844,0.178
30,40,0.5,0.5,0.5,0.5,0,20,60,0.8214,0.1606
10,10,0.1,0.1,0.1,0,0.5,20,30,1.0315,0.2111
30,10,0.1,0.1,0.1,0,0.5,20,30,0.9612,0.2035
10,40,0.1,0.1,0.1,0,0.5,20,60,1.0054,0.2184
30,40,0.1,0.1,0.1,0,0.5,20,60,1.0455,0.2292
10,10,0.5,0.1,0.1,0,0.5,20,30,0.9458,0.2125
30,10,0.5,0.1,0.1,0,0.5,20,30,1.0425,0.2206
10,40,0.5,0.1,0.1,0,0.5,20,60,1.0415,0.2322
30,40,0.5,0.1,0.1,0,0.5,20,60,0.9745,0.2302
10,10,0.1,0.5,0.1,0,0.5,20,30,0.7985,0.1889
30,10,0.1,0.5,0.1,0,0.5,20,30,0.7369,0.16
10,40,0.1,0.5,0.1,0,0.5,20,60,0.782,0.1783
30,40,0.1,0.5,0.1,0,0.5,20,60,0.6941,0.1677
10,10,0.5,0.5,0.1,0,0.5,20,30,0.7159,0.1689
30,10,0.5,0.5,0.1,0,0.5,20,30,0.7606,0.1547
10,40,0.5,0.5,0.1,0,0.5,20,60,0.7437,0.1472
30,40,0.5,0.5,0.1,0,0.5,20,60,0.6991,0.1571
10,10,0.1,0.1,0.5,0,0.5,20,30,0.9696,0.2134
30,10,0.1,0.1,0.5,0,0.5,20,30,0.9159,0.2282
10,40,0.1,0.1,0.5,0,0.5,20,60,1.0359,0.2053
30,40,0.1,0.1,0.5,0,0.5,20,60,0.9781,0.2181
10,10,0.5,0.1,0.5,0,0.5,20,30,0.9316,0.2174
30,10,0.5,0.1,0.5,0,0.5,20,30,0.9377,0.223
10,40,0.5,0.1,0.5,0,0.5,20,60,0.9902,0.2054
30,40,0.5,0.1,0.5,0,0.5,20,60,1.0169,0.2025
10,10,0.1,0.5,0.5,0,0.5,20,30,0.7589,0.1866
30,10,0.1,0.5,0.5,0,0.5,20,30,0.7145,0.1832
10,40,0.1,0.5,0.5,0,0.5,20,60,0.6962,0.1718
30,40,0.1,0.5,0.5,0,0.5,20,60,0.7608,0.1669
10,10,0.5,0.5,0.5,0,0.5,20,30,0.7879,0.1768
30,10,0.5,0.5,0.5,0,0.5,20,30,0.7348,0.1603
10,40,0.5,0.5,0.5,0,0.5,20,60,0.6983,0.1688
30,40,0.5,0.5,0.5,0,0.5,20,60,0.7476,0.1496
10,10,0.1,0.1,0.1,0.5,0.5,20,30,1.1494,0.2671
30,10,0.1,0.1,0.1,0.5,0.5,20,30,1.1199,0.2406
10,40,0.1,0.1,0.1,0.5,0.5,20,60,1.0405,0.2282
30,40,0.1,0.1,0.1,0.5,0.5,20,60,1.0675,0.224
10,10,0.5,0.1,0.1,0.5,0.5,20,30,1.1043,0.2331
30,10,0.5,0.1,0.1,0.5,0.5,20,30,0.9517,0.2354
10,40,0.5,0.1,0.1,0.5,0.5,20,60,1.0013,0.2501
30,40,0.5,0.1,0.1,0.5,0.5,20,60,0.963,0.2212
10,10,0.1,0.5,0.1,0.5,0.5,20,30,0.8532,0.1788
30,10,0.1,0.5,0.1,0.5,0.5,20,30,0.7582,0.1808
10,40,0.1,0.5,0.1,0.5,0.5,20,60,0.8685,0.1878
30,40,0.1,0.5,0.1,0.5,0.5,20,60,0.8028,0.1677
10,10,0.5,0.5,0.1,0.5,0.5,20,30,0.8002,0.1747
30,10,0.5,0.5,0.1,0.5,0.5,20,30,0.7143,0.1702
10,40,0.5,0.5,0.1,0.5,0.5,20,60,0.7837,0.183
30,40,0.5,0.5,0.1,0.5,0.5,20,60,0.7901,0.1608
10,10,0.1,0.1,0.5,0.5,0.5,20,30,1.1362,0.2542
30,10,0.1,0.1,0.5,0.5,0.5,20,30,1.078,0.2471
10,40,0.1,0.1,0.5,0.5,0.5,20,60,1.1206,0.2769
30,40,0.1,0.1,0.5,0.5,0.5,20,60,0.9419,0.2456
10,10,0.5,0.1,0.5,0.5,0.5,20,30,1.0711,0.2669
30,10,0.5,0.1,0.5,0.5,0.5,20,30,0.9569,0.2536
10,40,0.5,0.1,0.5,0.5,0.5,20,60,1.0697,0.2642
30,40,0.5,0.1,0.5,0.5,0.5,20,60,0.9418,0.2431
10,10,0.1,0.5,0.5,0.5,0.5,20,30,0.8567,0.18
30,10,0.1,0.5,0.5,0.5,0.5,20,30,0.7305,0.1782
10,40,0.1,0.5,0.5,0.5,0.5,20,60,0.8102,0.1851
30,40,0.1,0.5,0.5,0.5,0.5,20,60,0.8565,0.1753
10,10,0.5,0.5,0.5,0.5,0.5,20,30,0.8163,0.1949
