"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
30,10,0.5,0.5,0.1,0.5,0,20,30,0.4885,0.1223
10,40,0.5,0.5,0.1,0.5,0,20,60,0.5413,0.1212
30,40,0.5,0.5,0.1,0.5,0,20,60,0.5159,0.1089
10,10,0.1,0.1,0.5,0.5,0,20,30,0.1548,0.0403
30,10,0.1,0.1,0.5,0.5,0,20,30,0.1186,0.0286
10,40,0.1,0.1,0.5,0.5,0,20,60,0.1521,0.0339
30,40,0.1,0.1,0.5,0.5,0,20,60,0.1248,0.0257
10,10,0.5,0.1,0.5,0.5,0,20,30,0.2195,0.0459
30,10,0.5,0.1,0.5,0.5,0,20,30,0.1667,0.0467
10,40,0.5,0.1,0.5,0.5,0,20,60,0.205,0.046
30,40,0.5,0.1,0.5,0.5,0,20,60,0.1776,0.0464
10,10,0.1,0.5,0.5,0.5,0,20,30,0.5353,0.1181
30,10,0.1,0.5,0.5,0.5,0,20,30,0.4943,0.1105
10,40,0.1,0.5,0.5,0.5,0,20,60,0.5203,0.1118
30,40,0.1,0.5,0.5,0.5,0,20,60,0.5129,0.1226
10,10,0.5,0.5,0.5,0.5,0,20,30,0.5748,0.1292
30,10,0.5,0.5,0.5,0.5,0,20,30,0.5385,0.1375
10,40,0.5,0.5,0.5,0.5,0,20,60,0.5486,0.1242
30,40,0.5,0.5,0.5,0.5,0,20,60,0.5169,0.1144
10,10,0.1,0.1,0.1,0,0.5,20,30,0.1929,0.0656
30,10,0.1,0.1,0.1,0,0.5,20,30,0.1368,0.0407
10,40,0.1,0.1,0.1,0,0.5,20,60,0.1774,0.0601
30,40,0.1,0.1,0.1,0,0.5,20,60,0.136,0.0394
10,10,0.5,0.1,0.1,0,0.5,20,30,0.1889,0.0634
30,10,0.5,0.1,0.1,0,0.5,20,30,0.1349,0.0416
10,40,0.5,0.1,0.1,0,0.5,20,60,0.1937,0.0673
30,40,0.5,0.1,0.1,0,0.5,20,60,0.1333,0.0425
10,10,0.1,0.5,0.1,0,0.5,20,30,0.5387,0.1255
30,10,0.1,0.5,0.1,0,0.5,20,30,0.5363,0.1184
10,40,0.1,0.5,0.1,0,0.5,20,60,0.491,0.1271
30,40,0.1,0.5,0.1,0,0.5,20,60,0.52,0.1215
10,10,0.5,0.5,0.1,0,0.5,20,30,0.5607,0.126
30,10,0.5,0.5,0.1,0,0.5,20,30,0.5083,0.1194
10,40,0.5,0.5,0.1,0,0.5,20,60,0.5546,0.1363
30,40,0.5,0.5,0.1,0,0.5,20,60,0.4912,0.119
10,10,0.1,0.1,0.5,0,0.5,20,30,0.1894,0.0622
30,10,0.1,0.1,0.5,0,0.5,20,30,0.1387,0.0375
10,40,0.1,0.1,0.5,0,0.5,20,60,0.1898,0.0572
30,40,0.1,0.1,0.5,0,0.5,20,60,0.1378,0.0377
10,10,0.5,0.1,0.5,0,0.5,20,30,0.2167,0.0676
30,10,0.5,0.1,0.5,0,0.5,20,30,0.1351,0.0416
10,40,0.5,0.1,0.5,0,0.5,20,60,0.2047,0.0711
30,40,0.5,0.1,0.5,0,0.5,20,60,0.137,0.0397
10,10,0.1,0.5,0.5,0,0.5,20,30,0.5207,0.1298
30,10,0.1,0.5,0.5,0,0.5,20,30,0.5152,0.1145
10,40,0.1,0.5,0.5,0,0.5,20,60,0.5096,0.1282
30,40,0.1,0.5,0.5,0,0.5,20,60,0.523,0.1181
10,10,0.5,0.5,0.5,0,0.5,20,30,0.5297,0.1303
30,10,0.5,0.5,0.5,0,0.5,20,30,0.5421,0.1211
10,40,0.5,0.5,0.5,0,0.5,20,60,0.5664,0.1408
30,40,0.5,0.5,0.5,0,0.5,20,60,0.4788,0.1252
10,10,0.1,0.1,0.1,0.5,0.5,20,30,0.1278,0.0357
30,10,0.1,0.1,0.1,0.5,0.5,20,30,0.101,0.0287
10,40,0.1,0.1,0.1,0.5,0.5,20,60,0.1219,0.0354
30,40,0.1,0.1,0.1,0.5,0.5,20,60,0.1131,0.0284
10,10,0.5,0.1,0.1,0.5,0.5,20,30,0.1582,0.0538
30,10,0.5,0.1,0.1,0.5,0.5,20,30,0.1318,0.0332
